Date,Day,Previous day Close,Gap Points,Nifty Open,Nifty Spot at 9.45 AM,Trigger High (+0.3%),Trigger Low (-0.3%),IV Percentile at 9.45 AM,Trade Signal,Buy Strike,Sell Strike,Buy Strike Entry Premium,Sell Strike Entry Premium,Buy Strike Exit Premium,Sell Strike Exit Premium,Debit Paid,Exit Price,Qty,PnL,Result,Balance,Drawdown,Streak,Remarks,TF_Monthly_Zone,TF_Near_Daily_SR,TF_Hourly_Trend,TF_Trade_Allowed,No_Trade_Reason
01-Dec-25,Monday,26202.0,111.0,26313.0,26286.0,26392.0,26234.0,11.32,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,30000.0,0.0,0.0,[DISCIPLINE] Monday No trade,,,,,
02-Dec-25,Tuesday,26175.0,78.0,26097.0,26078.0,26175.0,26019.0,90.0,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,30000.0,0.0,0.0,[DISCIPLINE] High IV prevented a bad entry,,,,,
03-Dec-25,Wednesday,26032.0,13.0,26045.0,25943.0,26123.0,25967.0,9.02,⛔ NO TRADE (SEASONAL),25850.0,25750.0,,,,,27.75,20.85,75.0,-517.5,LOSS,29482.5,-517.5,1.0,"[PROCESS] Market reversed, hit SL. Rules followed",,,,,
04-Dec-25,Thursday,25986.0,3.0,25989.0,26028.0,26067.0,25911.0,8.3,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,29482.5,-517.5,1.0,[DISCIPLINE] No trade signal,,[ERROR] Entered early. Should have waited for 0.3%.,,,
05-Dec-25,Friday,26033.0,29.0,26004.0,26047.0,26082.0,25926.0,10.0,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,29482.5,-517.5,1.0,[DISCIPLINE] Friday No Trade,,,,,
08-Dec-25,Monday,26186.0,16.0,26170.0,26129.0,26249.0,26091.0,12.0,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,29482.5,-517.5,0.0,[DISCIPLINE] Monday No trade,,,,,
09-Dec-25,Tuesday,25960.0,80.0,25880.0,25760.0,25958.0,25802.0,21.3,⛔ NO TRADE (SEASONAL),25650.0,25550.0,,,,,26.75,14.25,75.0,-937.5,LOSS,28545.0,-1455.0,1.0,"[PROCESS] Market reversed, hit SL. Rules followed but SL not put in the virtual portfolio",,,,,
10-Dec-25,Wednesday,25839.0,29.0,25868.0,25906.0,25946.0,25790.0,9.3,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,1.0,[DISCIPLINE] No trade signal,,,,,
11-Dec-25,Thursday,25758.0,19.0,25777.0,25711.0,25854.0,25700.0,10.0,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,1.0,[DISCIPLINE] No trade signal,,,,,
12-Dec-25,Friday,25898.0,91.0,25989.0,26024.0,26067.0,25911.0,8.2,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,1.0,[DISCIPLINE] No trade signal,,,,,
15-Dec-25,Monday,26046.0,87.0,25959.0,25916.0,26037.0,25881.0,12.2,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] Monday No trade,,,,,
16-Dec-25,Tuesday,26027.0,47.0,25980.0,25926.0,26058.0,25902.0,17.5,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] No trade signal,,,,,
17-Dec-25,Wednesday,25860.0,44.0,25904.0,25880.0,25982.0,25826.0,17.5,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] No trade signal,,,,,
18-Dec-25,Thursday,25818.0,49.0,25769.0,25745.0,25846.0,25692.0,8.7,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] No trade signal,,,,,
19-Dec-25,Friday,25815.0,98.0,25913.0,25956.0,25991.0,25835.0,9.2,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] Friday No trade,,,,,
22-Dec-25,Monday,25966.0,114.0,26080.0,26124.0,26158.0,26002.0,10.1,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28545.0,-1455.0,0.0,[DISCIPLINE] Monday No trade,,,,,
23-Dec-25,Tuesday,26172.0,34.0,26206.0,26124.0,26285.0,26127.0,13.0,⛔ NO TRADE (SEASONAL),26000.0,25900.0,,,,,17.5,14.05,75.0,-258.75,LOSS,28286.25,-1713.75,1.0,[PROCESS WIN] Executed correctly. Market chopped. Exited before max loss. Capital preserved. SL not hit,,,,,
24-Dec-25,Wednesday,26177.0,6.0,26183.0,26217.0,26262.0,26104.0,7.2,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,1.0,[DISCIPLINE] No trade signal,,,,,
26-Dec-25,Friday,26141.0,21.0,26120.0,26086.0,26198.0,26042.0,6.5,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,1.0,[DISCIPLINE] No trade Seasonal,,,,,
29-Dec-25,Monday,26047.0,19.0,26066.0,26080.0,26144.0,25988.0,8.2,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,0.0,[DISCIPLINE] No trade Seasonal,,,,,
30-Dec-25,Tuesday,25950.0,6.0,25956.0,25940.0,26034.0,25878.0,8.12,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,0.0,[DISCIPLINE] No trade Seasonal,,,,,
31-Dec-25,Wednesday,25971.0,5.0,25976.0,25973.0,26054.0,25898.0,7.3,⛔ NO TRADE (SEASONAL),,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,0.0,[DISCIPLINE] No trade Seasonal,,,,,
01-Jan-26,Thursday,26142.0,34.0,26176.0,26178.0,26255.0,26097.0,6.39,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28286.25,-1713.75,0.0,[DISCIPLINE] No trade signal,,,,,
02-Jan-26,Friday,26140.0,15.0,26155.0,26248.0,26233.0,26077.0,6.6,BUY CALL SPREAD,26350.0,26450.0,,,,,24.0,30.45,65.0,419.25,WIN,28705.5,-1294.5,0.0,[PROCESS WIN] Executed correctly. Made profit. Trade closed at 2.00 PM,,,,,
05-Jan-26,Monday,26335.0,7.0,26342.0,26280.0,26421.0,26263.0,9.21,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,[DISCIPLINE] No trade signal,,,,,
06-Jan-26,Tuesday,26245.0,46.0,26199.0,26199.0,26278.0,26120.0,80.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,"[DISCIPLINE] No trade signal , IV too High",,,,,
07-Jan-26,Wednesday,26174.0,14.0,26160.0,26108.0,26238.0,26082.0,7.2,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,[DISCIPLINE] No trade signal,,,,,
08-Jan-26,Thursday,26143.0,46.0,26097.0,26090.0,26175.0,26019.0,7.3,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,[DISCIPLINE] No trade signal,,,,,
09-Jan-26,Friday,25869.0,3.0,25866.0,25876.0,25944.0,25788.0,14.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,[DISCIPLINE] No trade signal,,,,,
12-Jan-26,Monday,25703.0,27.0,25676.0,25558.0,25753.0,25599.0,71.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,28705.5,-1294.5,0.0,"[DISCIPLINE] No trade , IV Too High and market bounced back from lows, may be it would have been a losing trade if taken",,,,,
